,name,explosion,model,num
369,v2_l2-11,6001,v2_l2,11
370,v2_l2-12,6001,v2_l2,12
371,v2_l2-13,3280,v2_l2,13
372,v2_l2-14,3433,v2_l2,14
373,v2_l2-15,792,v2_l2,15
374,v2_l2-16,2562,v2_l2,16
375,v2_l2-17,2262,v2_l2,17
376,v2_l2-18,6001,v2_l2,18
377,v2_l2-19,6001,v2_l2,19
378,v2_l2-20,1076,v2_l2,20
379,v2_l2-21,6001,v2_l2,21
380,v2_l2-22,5687,v2_l2,22
381,v2_l2-23,1494,v2_l2,23
382,v2_l2-24,2088,v2_l2,24
383,v2_l2-25,3191,v2_l2,25
384,v2_l2-26,1216,v2_l2,26
385,v2_l2-27,902,v2_l2,27
386,v2_l2-28,1727,v2_l2,28
387,v2_l2-29,1296,v2_l2,29
388,v2_l2-30,6001,v2_l2,30
389,v2_l3-01,2266,v2_l3,1
390,v2_l3-02,916,v2_l3,2
391,v2_l3-03,3155,v2_l3,3
392,v2_l3-04,1364,v2_l3,4
393,v2_l3-05,1668,v2_l3,5
394,v2_l3-06,5321,v2_l3,6
395,v2_l3-07,1029,v2_l3,7
396,v2_l3-08,1627,v2_l3,8
397,v2_l3-09,1974,v2_l3,9
398,v2_l3-10,1943,v2_l3,10
399,v2_l3-11,846,v2_l3,11
400,v2_l3-12,2509,v2_l3,12
401,v2_l3-13,1579,v2_l3,13
402,v2_l3-14,1153,v2_l3,14
403,v2_l3-15,2165,v2_l3,15
404,v2_l3-16,954,v2_l3,16
405,v2_l3-17,1853,v2_l3,17
406,v2_l3-18,843,v2_l3,18
407,v2_l3-19,1451,v2_l3,19
408,v2_l3-20,2899,v2_l3,20
409,v2_l3-21,1359,v2_l3,21
410,v2_l3-22,1334,v2_l3,22
411,v2_l3-23,1215,v2_l3,23
412,v2_l3-24,1647,v2_l3,24
413,v2_l3-25,1140,v2_l3,25
414,v2_l3-26,1086,v2_l3,26
415,v2_l3-27,2405,v2_l3,27
416,v2_l3-28,1087,v2_l3,28
417,v2_l3-29,1156,v2_l3,29
418,v2_l3-30,1709,v2_l3,30
419,v3_l3-01,2950,v3_l3,1
420,v3_l3-02,1548,v3_l3,2
421,v3_l3-03,2336,v3_l3,3
422,v3_l3-04,2003,v3_l3,4
423,v3_l3-05,2553,v3_l3,5
424,v3_l3-06,6001,v3_l3,6
425,v3_l3-07,2227,v3_l3,7
426,v3_l3-08,1724,v3_l3,8
427,v3_l3-09,1550,v3_l3,9
428,v3_l3-10,2471,v3_l3,10
429,v3_l3-12,1980,v3_l3,12
430,v3_l3-13,2137,v3_l3,13
